Course No,Course Title,No. of FDTA's given,Number of registered students,Total instructors (including ME+PhD TAs),IC
BITS F464,MACHINE LEARNING ,3,58,1,ASHWIN SRINIVASAN
CS F111,COMPUTER PROGRAMMING,1,826,7,BIJU K R
CS F211,DATA STRUCTURES & ALGORITHMS,1,178,1,A BASKAR
CS F212,DATABASE SYSTEMS,3,158,2,DEBASIS DAS .
CS F303,COMPUTER NETWORKS,2,158,2,SREEJITH V
CS F314,SOFTWARE DEVELOPMENT FOR PORTABLE DEVICES,1,43,1,SREEJITH V
